DFM,AL4_P,TM-score,TM-align,Z-score,AL0_P,QCS,Handed.,SS
0.07,81.67,0.579,0.582,4.4,60.0,81.37,0.89,0.38
0.62,31.82,0.312,0.31,0.59,21.82,43.67,0.73,0.332
0.18,91.45,0.816,0.822,8.06,75.21,87.19,0.92,0.529
1.31,30.59,0.3,0.325,1.62,20.0,32.51,0.73,0.42
0.07,78.33,0.559,0.564,3.89,61.67,77.84,0.93,0.479
0.61,56.29,0.544,0.563,4.32,50.3,77.32,0.72,0.422
0.05,97.01,0.915,0.915,9.94,92.22,95.56,0.96,0.682
0.18,90.6,0.778,0.798,8.06,71.79,85.45,0.91,0.531
0.13,66.67,0.529,0.524,2.88,58.33,55.8,0.86,0.393
0.34,84.62,0.713,0.717,6.39,68.38,78.16,0.89,0.401
0.18,91.45,0.817,0.823,7.95,75.21,87.3,0.92,0.545
0.7,61.08,0.615,0.658,5.44,56.29,81.51,0.78,0.449
0.04,86.67,0.68,0.687,4.57,71.67,84.54,0.91,0.445
0.87,0.91,0.327,0.33,0.59,0.0,40.92,0.61,0.493
0.24,60.0,0.668,0.658,9.04,48.91,86.15,0.73,0.661
1.42,40.59,0.392,0.388,2.25,36.47,40.1,0.88,0.473
0.18,94.02,0.805,0.811,7.95,79.49,87.95,0.92,0.391
0.06,98.29,0.942,0.942,8.47,97.44,97.12,0.96,0.679
0.08,86.96,0.896,0.905,13.21,75.0,98.22,0.94,0.686
1.02,0.0,0.121,0.178,-2.35,0.0,8.79,0.6,0.073
0.04,75.0,0.559,0.564,2.54,61.67,86.79,0.93,0.549
0.04,98.2,0.942,0.946,8.25,95.5,97.74,0.96,0.724
0.04,96.41,0.934,0.934,9.78,95.21,98.07,0.97,0.63
0.03,75.0,0.574,0.571,3.04,60.0,87.53,0.93,0.557
0.01,97.6,0.943,0.943,9.86,97.6,98.58,0.98,0.772
0.23,51.82,0.475,0.485,1.89,40.0,62.11,0.91,0.425
0.14,80.0,0.482,0.509,3.38,21.67,59.58,0.76,0.327
0.23,51.82,0.475,0.485,1.89,40.0,62.11,0.91,0.425
0.18,93.16,0.824,0.83,8.06,77.78,87.17,0.92,0.545
0.03,98.33,0.776,0.778,5.93,86.67,91.32,0.94,0.529
0.07,87.83,0.906,0.911,13.44,76.52,98.07,0.95,0.682
0.18,91.45,0.792,0.803,8.06,71.79,86.44,0.92,0.535
0.19,56.36,0.501,0.505,3.2,47.27,65.18,0.86,0.535
0.04,98.2,0.936,0.939,8.25,95.5,97.55,0.96,0.7
0.18,64.55,0.56,0.554,4.18,54.55,76.21,0.89,0.543
0.04,98.2,0.942,0.946,8.25,95.5,97.67,0.96,0.689
0.05,97.29,0.972,0.972,11.04,95.48,98.65,0.97,0.73
0.05,96.83,0.969,0.969,10.91,95.93,98.86,0.97,0.766
0.08,85.65,0.888,0.898,12.48,73.7,98.14,0.94,0.688
0.08,86.96,0.893,0.903,13.06,74.78,98.4,0.94,0.687
0.82,64.55,0.546,0.546,4.29,54.55,67.52,0.82,0.54
0.04,98.33,0.691,0.691,6.1,83.33,90.68,0.91,0.439
0.08,84.13,0.878,0.891,12.37,74.35,98.48,0.94,0.698
0.06,98.29,0.958,0.958,8.47,97.44,98.08,0.97,0.631
1.37,0.0,0.235,0.319,-0.86,0.0,15.15,0.54,0.092
0.08,86.09,0.889,0.898,12.75,74.13,97.86,0.94,0.686
0.05,91.67,0.611,0.615,4.57,68.33,84.46,0.9,0.458
0.17,88.89,0.794,0.797,7.43,77.78,87.09,0.91,0.463
0.04,98.2,0.937,0.939,8.25,95.5,97.66,0.96,0.689
0.05,96.83,0.971,0.971,10.91,95.93,99.0,0.97,0.779
0.14,95.73,0.824,0.823,8.16,85.47,91.09,0.93,0.523
0.05,96.38,0.969,0.969,10.91,95.93,98.79,0.97,0.76
0.78,0.0,0.18,0.187,-1.08,0.0,14.08,0.64,0.124
0.03,95.21,0.919,0.919,8.81,94.61,98.34,0.97,0.718
0.14,57.17,0.694,0.719,6.9,45.65,95.61,0.89,0.551
0.05,88.33,0.647,0.647,4.57,75.0,76.03,0.9,0.449
0.05,97.74,0.968,0.968,11.1,97.29,97.8,0.97,0.72
0.05,96.41,0.907,0.907,9.86,91.62,95.94,0.96,0.673
1.58,42.35,0.397,0.392,2.17,33.53,41.02,0.89,0.353
0.83,56.36,0.481,0.491,3.2,47.27,45.68,0.63,0.479
0.43,72.46,0.706,0.732,6.25,67.07,87.23,0.88,0.632
1.02,0.0,0.121,0.178,-2.35,0.0,8.79,0.6,0.073
0.21,63.64,0.557,0.554,3.64,54.55,67.28,0.91,0.459
0.22,51.82,0.478,0.488,2.0,40.0,63.47,0.91,0.467
0.09,86.52,0.892,0.901,12.94,74.35,97.81,0.94,0.641
0.47,62.83,0.644,0.637,7.97,41.3,74.92,0.75,0.265
0.05,96.83,0.972,0.972,10.91,95.93,98.91,0.97,0.783
0.19,57.27,0.524,0.524,3.42,47.27,66.1,0.92,0.477
0.04,75.0,0.57,0.578,3.04,60.0,87.18,0.93,0.541
0.05,96.83,0.973,0.973,10.91,95.93,99.02,0.97,0.776
0.56,80.24,0.758,0.768,7.61,72.46,85.86,0.85,0.394
0.56,32.94,0.321,0.34,1.06,19.41,44.26,0.89,0.475
0.07,91.67,0.664,0.672,5.25,75.0,87.05,0.96,0.478
0.05,96.83,0.967,0.967,10.91,95.93,98.69,0.97,0.754
0.61,79.64,0.761,0.773,7.61,71.86,85.67,0.85,0.423
0.34,73.33,0.565,0.562,3.55,66.67,46.63,0.85,0.39
0.83,45.45,0.384,0.389,1.68,22.73,43.9,0.59,0.465
0.17,89.74,0.795,0.797,7.33,77.78,86.94,0.91,0.459
0.07,97.44,0.963,0.961,8.37,96.58,98.41,0.97,0.689
0.28,55.45,0.468,0.498,3.86,39.09,58.16,0.89,0.529
0.18,90.6,0.796,0.813,8.06,71.79,86.08,0.92,0.548
0.75,54.7,0.521,0.523,3.37,45.3,52.13,0.63,0.181
0.04,63.33,0.544,0.537,1.86,56.67,82.29,0.92,0.518
0.05,96.83,0.973,0.973,10.91,95.93,99.0,0.97,0.787
0.08,91.82,0.87,0.871,7.45,90.0,96.19,0.97,0.699
0.17,92.22,0.868,0.866,9.14,88.62,95.13,0.94,0.441
0.12,60.0,0.588,0.59,4.79,58.24,82.31,0.97,0.635
0.05,95.21,0.9,0.907,9.62,88.62,95.41,0.96,0.681
0.1,90.91,0.862,0.864,7.45,90.0,95.91,0.96,0.68
0.06,97.44,0.958,0.958,8.37,96.58,98.24,0.97,0.701
0.08,85.65,0.89,0.899,12.6,73.48,97.63,0.94,0.684
0.07,98.29,0.941,0.94,8.47,97.44,97.19,0.96,0.649
0.04,98.2,0.935,0.938,8.25,95.5,97.46,0.96,0.726
0.12,90.91,0.841,0.84,7.56,88.18,95.71,0.97,0.652
0.08,87.17,0.898,0.906,13.29,74.57,97.72,0.94,0.678
0.01,98.8,0.948,0.948,10.18,98.2,98.49,0.98,0.76
0.05,97.01,0.918,0.918,9.86,92.22,96.24,0.96,0.71
0.07,88.04,0.909,0.915,13.48,75.65,98.07,0.95,0.643
0.23,51.82,0.475,0.485,1.89,40.0,62.11,0.91,0.425
0.37,73.05,0.716,0.728,6.65,67.66,88.64,0.89,0.669
0.03,94.01,0.908,0.908,9.54,89.82,97.84,0.96,0.703
0.56,30.59,0.306,0.307,0.59,18.82,43.54,0.89,0.47
1.35,40.59,0.394,0.393,2.25,37.65,38.89,0.85,0.499
0.16,94.87,0.821,0.824,7.95,84.62,88.92,0.93,0.496
0.08,98.29,0.934,0.933,8.47,97.44,96.96,0.96,0.661
0.34,51.82,0.472,0.472,2.66,42.73,57.81,0.88,0.503
0.34,44.71,0.422,0.439,3.2,38.24,54.62,0.91,0.527
0.11,55.0,0.452,0.448,1.69,48.33,48.31,0.84,0.432
0.05,96.83,0.967,0.967,10.91,95.93,98.72,0.97,0.745
0.03,100.0,0.834,0.834,6.1,93.33,94.98,0.94,0.497
