GDT_TS,GDT_HA,GDC_SC,rmsd
63.73,50.0,26.01,7.2
94.82,80.18,57.41,1.38
33.18,22.73,6.01,15.52
85.63,69.01,55.55,1.63
96.27,91.63,73.83,1.27
45.0,32.5,10.56,16.09
63.64,49.77,34.52,10.22
90.65,84.0,63.84,9.76
59.32,44.32,25.73,10.17
96.38,91.97,78.08,1.26
90.6,73.08,56.89,1.42
77.39,58.53,41.3,3.03
84.28,66.92,53.27,1.69
78.75,60.0,32.61,1.88
42.5,32.5,19.47,34.08
83.33,66.25,42.08,1.73
72.53,54.23,26.1,3.4
96.38,91.52,76.72,1.21
94.37,81.53,57.99,1.4
96.38,92.08,78.3,1.25
76.5,56.41,32.61,2.55
10.91,6.14,2.45,36.09
72.01,56.29,44.99,14.27
91.67,77.03,54.1,1.69
81.22,67.42,36.45,4.37
94.17,83.75,48.26,1.04
73.24,54.58,32.99,3.49
90.3,83.41,65.36,9.89
96.27,92.08,78.67,1.25
76.58,59.02,37.65,3.58
65.45,49.77,28.44,9.38
83.11,64.42,40.77,1.82
95.27,83.33,59.67,1.34
78.42,61.32,36.65,2.38
90.54,82.59,63.89,9.77
84.17,67.92,39.24,1.74
50.15,37.12,21.32,15.81
78.21,61.58,38.89,3.4
92.57,77.03,55.98,1.54
63.41,47.5,26.11,9.18
74.58,56.25,28.86,2.75
93.89,80.43,39.65,1.32
84.51,70.07,41.38,1.97
75.81,56.2,38.78,3.18
63.77,47.6,30.61,9.39
50.83,37.5,19.92,9.15
89.37,78.73,62.73,2.34
85.03,67.96,52.34,1.7
80.0,62.08,24.85,2.21
24.85,17.94,7.56,38.37
77.57,61.22,36.4,8.79
86.25,71.25,43.79,1.61
35.59,26.91,14.4,34.14
26.59,20.68,9.88,18.99
52.5,41.67,16.63,8.95
58.23,53.53,34.23,13.94
72.08,54.17,25.87,3.61
78.31,59.78,41.08,3.06
94.57,87.33,69.89,1.37
30.29,24.11,14.56,40.69
88.47,75.75,59.81,4.14
66.36,47.73,29.25,7.67
94.82,83.11,58.43,1.48
84.58,69.58,36.14,1.81
93.69,80.18,57.6,1.49
33.97,25.29,16.72,37.27
95.81,87.11,68.84,1.2
80.13,64.74,42.05,2.58
90.65,83.53,64.0,9.76
49.7,35.18,15.91,12.26
53.74,30.84,14.41,5.16
95.05,84.46,61.01,1.34
79.7,62.82,43.16,2.41
86.27,70.07,41.82,1.98
96.27,90.05,73.16,1.23
95.7,85.07,59.33,1.32
38.82,32.06,17.82,37.84
47.22,24.79,7.48,4.95
48.64,36.82,25.25,12.59
75.0,55.33,36.88,3.24
37.65,28.53,12.73,39.85
95.94,88.03,62.09,1.31
66.24,46.15,22.87,3.63
33.18,22.73,6.01,15.52
93.16,78.42,57.94,1.44
95.02,86.08,70.16,1.3
70.83,54.16,22.8,3.44
52.95,39.77,28.86,10.89
66.2,52.47,30.97,7.02
94.82,83.33,60.97,1.33
66.36,48.87,29.81,7.05
95.7,89.26,72.46,1.31
44.32,29.77,20.12,14.08
91.92,79.49,57.94,1.38
96.15,86.11,64.13,1.43
94.66,80.98,59.92,1.44
93.69,85.05,67.92,1.48
85.03,67.96,52.34,1.7
90.42,83.88,65.07,9.71
71.86,61.67,47.05,9.7
78.42,56.84,34.62,1.88
73.37,54.68,38.24,3.21
89.84,81.54,65.6,9.8
92.57,77.25,57.27,1.52
91.0,83.3,64.81,9.72
31.25,21.25,7.58,13.4
36.04,18.02,2.9,10.47
66.9,53.52,26.83,7.01
77.56,59.83,37.36,2.46
60.9,40.17,17.66,4.22
76.03,56.41,38.82,3.09
32.06,23.68,14.19,38.06
95.7,88.81,72.28,1.36
91.12,85.05,66.24,9.73
13.92,8.98,1.39,25.43
84.51,67.95,42.73,2.02
37.5,27.05,10.96,12.88
93.56,79.94,63.09,1.3
31.32,22.35,14.37,42.8
38.53,28.82,16.54,41.16
96.37,88.67,64.06,1.28
82.92,65.83,36.78,2.14
72.89,56.34,32.67,4.35
72.65,53.2,29.8,3.19
77.22,57.71,35.77,4.72
40.73,30.59,19.41,43.98
78.33,60.83,28.94,3.18
82.05,72.27,46.39,5.58
95.5,81.98,55.61,1.43
50.91,36.37,26.11,12.48
72.53,54.93,31.09,3.89
61.67,47.92,24.2,8.79
85.63,71.11,56.79,4.08
53.15,39.67,16.95,16.18
82.73,70.91,53.82,5.88
58.18,43.87,28.3,10.88
88.62,75.3,60.64,3.01
41.82,30.23,10.93,22.63
73.95,54.33,26.66,7.97
80.63,61.94,28.59,4.31
90.54,82.83,64.2,9.72
90.3,81.89,64.06,9.77
72.53,53.88,27.3,4.03
20.0,13.18,1.26,21.73
56.18,51.47,30.69,12.38
73.59,55.98,25.02,2.71
28.23,19.56,11.5,36.55
75.83,57.5,25.42,2.57
46.82,32.5,15.92,13.15
74.51,54.67,38.45,3.11
94.59,81.53,56.39,1.36
94.37,81.31,55.49,1.39
91.0,83.53,64.02,9.68
38.97,29.12,17.98,37.38
51.71,36.54,0.0,6.78
97.22,87.39,65.15,1.41
61.67,42.08,10.46,4.53
79.21,62.85,37.97,8.47
41.32,31.18,19.05,33.28
90.57,75.75,58.1,1.56
37.35,28.68,18.05,40.05
50.68,38.18,23.43,12.64
83.75,70.0,43.14,1.79
79.27,62.18,39.92,2.06
79.13,62.28,39.95,3.17
73.75,55.83,25.68,2.86
83.53,66.02,51.1,1.95
95.05,82.89,61.22,1.31
72.08,56.66,28.48,3.22
55.45,41.37,28.67,10.66
95.81,87.33,70.52,1.39
71.83,53.87,32.79,4.77
78.37,60.22,42.47,2.96
34.85,26.62,16.31,38.16
91.0,83.76,64.44,9.73
67.73,47.87,25.23,3.69
71.67,53.75,28.33,3.96
63.64,49.77,34.52,10.22
80.98,66.24,39.41,2.22
86.27,69.72,42.61,1.97
90.65,83.76,64.56,9.76
78.63,63.25,37.26,2.75
94.59,81.53,58.63,1.46
97.06,93.67,78.35,1.15
58.86,43.64,20.65,10.17
85.0,68.75,37.42,1.67
90.77,84.0,65.43,9.72
93.92,81.08,56.79,1.35
83.8,69.02,42.17,1.85
