AL0_P,TM-score,TM-align,AL4_P,QCS,Z-score,Handed.,SS,DFM,GDT_TS
96.58,0.966,0.965,97.44,98.45,8.47,0.97,0.686,0.07,97.44
96.58,0.966,0.965,97.44,98.44,8.47,0.97,0.686,0.07,97.44
96.58,0.966,0.964,97.44,98.49,8.37,0.97,0.697,0.07,97.22
96.58,0.965,0.964,97.44,98.5,8.37,0.97,0.686,0.07,97.22
96.58,0.965,0.963,97.44,98.48,8.37,0.97,0.687,0.07,97.22
96.58,0.965,0.963,97.44,98.48,8.37,0.97,0.687,0.07,97.22
96.58,0.964,0.963,97.44,98.5,8.37,0.97,0.689,0.07,97.22
96.58,0.965,0.964,97.44,98.5,8.37,0.97,0.689,0.07,97.22
96.58,0.965,0.964,97.44,98.5,8.37,0.97,0.686,0.07,97.22
96.58,0.964,0.963,97.44,98.5,8.37,0.97,0.689,0.07,97.22
96.58,0.964,0.963,97.44,98.5,8.37,0.97,0.689,0.07,97.22
96.58,0.964,0.963,97.44,98.5,8.37,0.97,0.689,0.07,97.22
96.58,0.962,0.96,97.44,98.19,8.37,0.97,0.689,0.07,97.22
96.58,0.963,0.961,97.44,98.41,8.37,0.97,0.689,0.07,97.01
96.58,0.963,0.961,97.44,98.41,8.37,0.97,0.689,0.07,97.01
96.58,0.964,0.963,97.44,98.44,8.37,0.97,0.69,0.07,97.01
96.58,0.962,0.96,97.44,98.32,8.37,0.97,0.71,0.07,97.01
96.58,0.963,0.961,97.44,98.41,8.37,0.97,0.689,0.07,97.01
96.58,0.963,0.962,97.44,98.45,8.37,0.97,0.678,0.07,97.01
96.58,0.963,0.961,97.44,98.41,8.37,0.97,0.689,0.07,97.01
97.44,0.963,0.963,98.29,98.14,8.47,0.97,0.711,0.05,97.01
96.58,0.961,0.96,97.44,98.07,8.47,0.97,0.636,0.08,97.01
97.44,0.963,0.962,98.29,98.32,8.47,0.97,0.695,0.08,96.8
96.58,0.96,0.96,97.44,98.2,8.37,0.97,0.705,0.06,96.58
96.58,0.96,0.96,97.44,98.2,8.37,0.97,0.705,0.06,96.58
96.58,0.954,0.954,97.44,97.84,8.37,0.97,0.707,0.06,96.58
96.58,0.96,0.96,97.44,98.2,8.37,0.97,0.705,0.06,96.58
96.58,0.96,0.96,97.44,98.2,8.37,0.97,0.705,0.06,96.58
96.58,0.962,0.962,97.44,98.34,8.37,0.97,0.72,0.06,96.58
97.44,0.958,0.958,98.29,98.08,8.47,0.97,0.631,0.06,96.58
96.58,0.957,0.957,97.44,98.03,8.37,0.97,0.662,0.07,96.58
96.58,0.96,0.96,97.44,98.2,8.37,0.97,0.705,0.06,96.58
96.58,0.96,0.96,97.44,98.2,8.37,0.97,0.705,0.06,96.58
96.58,0.955,0.955,97.44,98.01,8.37,0.97,0.708,0.06,96.37
96.58,0.955,0.955,97.44,98.01,8.37,0.97,0.708,0.06,96.37
96.58,0.957,0.957,97.44,98.13,8.37,0.97,0.691,0.06,96.37
96.58,0.955,0.955,97.44,98.01,8.37,0.97,0.708,0.06,96.37
96.58,0.959,0.959,97.44,98.31,8.37,0.97,0.694,0.06,96.37
