GDT_TS,NP_P,AL0_P,AL4_P,Z-score,Z-Score,MP-Score,Global score,SG,AA,SS,RPF,QCS,contS,SOV,CE,CoDM,DFM,Handed.,TM-score,TM-align,FlexE,ASE,reLLG lddt,reLLG const,DipDiff
97.44,100.0,96.58,97.44,8.47,24.0,1.24,0.886,96.58,0.838,0.686,0.886,98.45,96.99,100.0,6.35,0.98,0.07,0.97,0.966,0.965,19.65,91.62,37.38,35.26,0.018
97.44,100.0,96.58,97.44,8.47,24.1,1.29,0.887,96.58,0.838,0.686,0.889,98.44,96.95,99.6,6.35,0.98,0.07,0.97,0.966,0.965,19.84,92.9,29.6,27.4,0.018
97.22,100.0,96.58,97.44,8.37,24.5,1.12,0.889,96.15,0.841,0.697,0.89,98.49,97.03,100.0,6.35,0.98,0.07,0.97,0.966,0.964,20.08,91.75,33.96,31.37,0.0
97.22,100.0,96.58,97.44,8.37,24.4,1.18,0.884,96.15,0.836,0.686,0.887,98.5,97.02,100.0,6.35,0.98,0.07,0.97,0.965,0.964,20.24,91.78,33.57,31.26,0.012
97.22,100.0,96.58,97.44,8.37,24.4,1.18,0.885,96.15,0.837,0.687,0.887,98.48,97.02,100.0,6.35,0.98,0.07,0.97,0.965,0.963,20.25,92.95,29.87,27.73,0.012
97.22,100.0,96.58,97.44,8.37,24.4,1.18,0.885,96.15,0.837,0.687,0.887,98.48,97.02,100.0,6.35,0.98,0.07,0.97,0.965,0.963,20.25,92.95,29.87,27.73,0.012
97.22,100.0,96.58,97.44,8.37,24.4,1.12,0.884,96.15,0.837,0.689,0.887,98.5,97.02,100.0,6.35,0.98,0.07,0.97,0.964,0.963,20.24,92.23,36.12,30.87,0.01
97.22,100.0,96.58,97.44,8.37,24.4,1.06,0.885,96.15,0.839,0.689,0.887,98.5,97.05,100.0,6.35,0.98,0.07,0.97,0.965,0.964,20.23,92.45,34.43,31.38,0.011
97.22,100.0,96.58,97.44,8.37,24.4,1.18,0.884,96.15,0.836,0.686,0.887,98.5,97.02,100.0,6.35,0.98,0.07,0.97,0.965,0.964,20.24,91.78,33.57,31.26,0.012
97.22,100.0,96.58,97.44,8.37,24.4,1.12,0.884,96.15,0.837,0.689,0.887,98.5,97.02,100.0,6.35,0.98,0.07,0.97,0.964,0.963,20.24,92.23,36.12,30.87,0.01
97.22,100.0,96.58,97.44,8.37,24.4,1.12,0.884,96.15,0.837,0.689,0.887,98.5,97.02,100.0,6.35,0.98,0.07,0.97,0.964,0.963,20.24,92.23,36.12,30.87,0.01
97.22,100.0,96.58,97.44,8.37,24.4,1.12,0.884,96.15,0.837,0.689,0.887,98.5,97.02,100.0,6.35,0.98,0.07,0.97,0.964,0.963,20.24,92.23,36.12,30.87,0.01
97.22,100.0,96.58,97.44,8.37,23.9,1.12,0.876,96.15,0.835,0.689,0.88,98.19,96.48,100.0,6.35,0.98,0.07,0.97,0.962,0.96,20.15,91.34,33.23,29.25,0.011
97.01,100.0,96.58,97.44,8.37,24.3,1.26,0.885,96.15,0.837,0.689,0.89,98.41,96.93,100.0,6.47,0.98,0.07,0.97,0.963,0.961,20.25,92.3,32.66,29.78,0.008
97.01,100.0,96.58,97.44,8.37,24.3,1.26,0.885,96.15,0.837,0.689,0.89,98.41,96.93,100.0,6.47,0.98,0.07,0.97,0.963,0.961,20.25,92.3,32.66,29.78,0.008
97.01,100.0,96.58,97.44,8.37,24.4,1.18,0.885,96.15,0.838,0.69,0.887,98.44,96.98,100.0,6.35,0.98,0.07,0.97,0.964,0.963,20.41,93.2,34.31,26.25,0.012
